user_num,fault_type1,fault_type2,bal_acc,vid_type
1,NONE,NONE,0.875,1
1,NONE,NONE,0.953125,2
1,NONE,NONE,1.0,3
1,NONE,NONE,0.984375,4
1,WHEEL,NONE,0.9666666666666667,5
1,PROX,NONE,0.9761904761904762,6
1,WHEEL,NONE,0.4666666666666667,7
1,PROX,NONE,0.47619047619047616,8
1,PROX,PROX,0.4642857142857143,9
1,WHEEL,PROX,0.7338709677419355,10
1,WHEEL,WHEEL,0.4838709677419355,12
1,WHEEL,PROX,0.4838709677419355,12
2,NONE,NONE,0.75,1
2,NONE,NONE,0.953125,2
2,NONE,NONE,0.75,3
2,NONE,NONE,0.96875,4
2,WHEEL,NONE,0.9333333333333333,5
2,PROX,NONE,0.9761904761904762,6
2,WHEEL,NONE,0.9666666666666667,7
2,PROX,NONE,0.49206349206349204,8
2,PROX,PROX,0.6785714285714286,9
2,WHEEL,PROX,0.717741935483871,10
2,WHEEL,PROX,0.9919354838709677,12
2,WHEEL,WHEEL,1.0,12
3,NONE,NONE,1.0,1
3,NONE,NONE,0.953125,2
3,NONE,NONE,1.0,3
3,NONE,NONE,0.921875,4
3,PROX,NONE,0.5,6
3,WHEEL,NONE,0.5,7
3,PROX,NONE,0.47619047619047616,8
3,PROX,PROX,1.0,9
3,WHEEL,PROX,0.75,10
3,WHEEL,PROX,0.5,12
3,WHEEL,WHEEL,0.5,12
3,NONE,NONE,1.0,4
4,NONE,NONE,1.0,1
4,NONE,NONE,1.0,2
4,NONE,NONE,1.0,3
4,NONE,NONE,1.0,4
4,PROX,NONE,1.0,6
4,WHEEL,NONE,1.0,7
4,PROX,NONE,0.5,8
4,PROX,PROX,1.0,9
4,WHEEL,PROX,1.0,10
4,WHEEL,WHEEL,1.0,12
4,WHEEL,PROX,1.0,12
4,NONE,NONE,1.0,4
5,NONE,NONE,0.875,1
5,NONE,NONE,0.875,2
5,NONE,NONE,0.9375,3
5,NONE,NONE,0.859375,4
5,WHEEL,NONE,0.8333333333333333,5
5,PROX,NONE,0.47619047619047616,6
5,WHEEL,NONE,0.26666666666666666,7
5,PROX,NONE,0.9126984126984127,8
5,PROX,PROX,0.6071428571428572,9
5,WHEEL,PROX,0.4274193548387097,10
5,WHEEL,WHEEL,0.4838709677419355,12
6,NONE,NONE,1.0,1
6,NONE,NONE,1.0,2
6,NONE,NONE,1.0,3
6,NONE,NONE,1.0,4
6,WHEEL,NONE,0.4666666666666667,5
6,PROX,NONE,0.5,6
6,WHEEL,NONE,1.0,7
6,PROX,NONE,0.5,8
6,PROX,PROX,0.9642857142857143,9
6,WHEEL,PROX,0.5,10
6,WHEEL,PROX,0.75,12
6,WHEEL,WHEEL,0.5,12
7,NONE,NONE,1.0,1
7,NONE,NONE,1.0,2
7,NONE,NONE,1.0,3
7,NONE,NONE,1.0,4
7,PROX,NONE,1.0,6
7,WHEEL,NONE,1.0,7
7,PROX,NONE,0.5,8
7,PROX,PROX,0.7142857142857143,9
7,WHEEL,PROX,0.75,10
7,WHEEL,WHEEL,0.75,12
7,NONE,NONE,1.0,4
7,WHEEL,PROX,0.75,12
8,NONE,NONE,1.0,1
8,NONE,NONE,0.96875,2
8,NONE,NONE,1.0,3
8,NONE,NONE,1.0,4
8,WHEEL,NONE,0.5,5
8,PROX,NONE,0.5,6
8,PROX,NONE,0.4666666666666667,7
8,WHEEL,NONE,0.5,8
8,PROX,PROX,1.0,9
8,WHEEL,WHEEL,0.75,10
8,WHEEL,PROX,0.75,11
8,PROX,PROX,0.5,12
9,NONE,NONE,0.9375,1
9,NONE,NONE,1.0,2
9,NONE,NONE,1.0,3
9,NONE,NONE,1.0,4
9,PROX,NONE,1.0,5
9,WHEEL,NONE,1.0,6
9,PROX,NONE,1.0,7
9,WHEEL,NONE,1.0,8
9,WHEEL,PROX,1.0,9
9,PROX,PROX,1.0,10
9,WHEEL,WHEEL,1.0,11
9,PROX,PROX,0.75,12
10,NONE,NONE,0.9375,1
10,NONE,NONE,1.0,2
10,NONE,NONE,0.9375,3
10,NONE,NONE,1.0,4
10,PROX,NONE,0.4666666666666667,5
10,WHEEL,NONE,0.5,6
10,PROX,NONE,0.5,7
10,WHEEL,NONE,1.0,8
10,WHEEL,PROX,1.0,9
10,PROX,PROX,0.75,10
10,WHEEL,WHEEL,0.75,11
10,PROX,PROX,0.5,12
11,NONE,NONE,1.0,1
11,NONE,NONE,1.0,2
11,NONE,NONE,1.0,3
11,NONE,NONE,1.0,4
11,WHEEL,NONE,1.0,5
11,PROX,NONE,0.49206349206349204,6
11,WHEEL,NONE,0.5,7
11,PROX,NONE,1.0,8
11,WHEEL,WHEEL,1.0,9
11,WHEEL,WHEEL,0.7419354838709677,10
11,PROX,PROX,0.9642857142857143,11
11,PROX,PROX,0.5,12
12,NONE,NONE,0.75,1
12,NONE,NONE,0.890625,2
12,NONE,NONE,0.75,3
12,NONE,NONE,0.921875,4
12,PROX,NONE,0.23333333333333334,5
12,WHEEL,NONE,0.42857142857142855,6
12,PROX,NONE,0.8,7
12,WHEEL,NONE,0.42857142857142855,8
12,WHEEL,PROX,0.6785714285714286,9
12,PROX,PROX,0.7338709677419355,10
12,WHEEL,PROX,0.6428571428571428,11
12,WHEEL,PROX,0.46774193548387094,12
13,NONE,NONE,1.0,1
13,NONE,NONE,1.0,2
13,NONE,NONE,1.0,3
13,NONE,NONE,1.0,4
13,PROX,NONE,0.5,5
13,WHEEL,NONE,1.0,6
13,PROX,NONE,0.5,7
13,WHEEL,NONE,0.9920634920634921,8
13,WHEEL,WHEEL,1.0,9
13,PROX,PROX,0.5,10
13,WHEEL,PROX,0.75,11
13,WHEEL,WHEEL,1.0,12
13,WHEEL,NONE,1.0,6
14,NONE,NONE,0.9375,1
14,NONE,NONE,0.953125,2
14,NONE,NONE,1.0,3
14,NONE,NONE,0.96875,4
14,WHEEL,NONE,1.0,5
14,PROX,NONE,0.9920634920634921,6
14,WHEEL,NONE,1.0,7
14,PROX,NONE,0.9920634920634921,8
14,WHEEL,WHEEL,1.0,9
14,WHEEL,WHEEL,0.5,10
14,PROX,PROX,1.0,11
14,PROX,PROX,0.75,12
15,NONE,NONE,1.0,1
15,NONE,NONE,1.0,2
15,NONE,NONE,0.9375,3
15,NONE,NONE,1.0,4
15,PROX,NONE,1.0,5
15,WHEEL,NONE,0.5,6
15,PROX,NONE,1.0,7
15,WHEEL,NONE,1.0,8
15,WHEEL,WHEEL,1.0,9
15,WHEEL,WHEEL,1.0,10
15,PROX,PROX,1.0,11
15,PROX,PROX,0.75,12
16,NONE,NONE,1.0,1
16,NONE,NONE,1.0,2
16,NONE,NONE,1.0,3
16,NONE,NONE,0.96875,4
16,PROX,NONE,1.0,5
16,WHEEL,NONE,0.5,6
16,PROX,NONE,0.4666666666666667,7
16,WHEEL,NONE,1.0,8
16,WHEEL,WHEEL,0.5,9
16,PROX,PROX,0.75,10
16,PROX,PROX,1.0,11
16,PROX,PROX,0.5,12
