Individual,Num_Faults,LEDS,Swarm_Size,user_order,Wheel_Fault,Prox_Fault,Bal_Avg,Video Type,TP,TN,FP,FN,MCC,Fault_Type1,Fault_Type2
1,0,ON,SMALL,1,NONE,NONE,0.875,1,,,,,,NONE,NONE
1,0,ON,LARGE,1,NONE,NONE,0.953125,2,,,,,,NONE,NONE
1,0,OFF,SMALL,1,NONE,NONE,1,3,,,,,,NONE,NONE
1,0,OFF,LARGE,1,NONE,NONE,0.984375,4,,,,,,NONE,NONE
1,1,ON,SMALL,1,YES,NONE,0.966666667,5,,,,,,WHEEL,NONE
1,1,ON,LARGE,1,NONE,YES,0.976190476,6,,,,,,PROX,NONE
1,1,OFF,SMALL,1,YES,NONE,0.466666667,7,,,,,,WHEEL,NONE
1,1,OFF,LARGE,1,NONE,YES,0.476190476,8,,,,,,PROX,NONE
1,2,ON,SMALL,1,NONE,YES,0.464285714,9,,,,,,PROX,PROX
1,2,ON,LARGE,1,YES,YES,0.733870968,10,,,,,,WHEEL,PROX
1,2,OFF,LARGE,1,YES,NONE,0.483870968,12,,,,,,WHEEL,WHEEL
1,2,OFF,LARGE,1,YES,YES,0.483870968,12,,,,,,WHEEL,PROX
2,0,ON,SMALL,2,NONE,NONE,0.75,1,,,,,,NONE,NONE
2,0,ON,LARGE,2,NONE,NONE,0.953125,2,,,,,,NONE,NONE
2,0,OFF,SMALL,2,NONE,NONE,0.75,3,,,,,,NONE,NONE
2,0,OFF,LARGE,2,NONE,NONE,0.96875,4,,,,,,NONE,NONE
2,1,ON,SMALL,2,YES,NONE,0.933333333,5,,,,,,WHEEL,NONE
2,1,ON,LARGE,2,NONE,YES,0.976190476,6,,,,,,PROX,NONE
2,1,OFF,SMALL,2,YES,NONE,0.966666667,7,,,,,,WHEEL,NONE
2,1,OFF,LARGE,2,NONE,YES,0.492063492,8,,,,,,PROX,NONE
2,2,ON,SMALL,2,NONE,YES,0.678571429,9,,,,,,PROX,PROX
2,2,ON,LARGE,2,YES,YES,0.717741935,10,,,,,,WHEEL,PROX
2,2,OFF,LARGE,2,YES,YES,0.991935484,12,,,,,,WHEEL,PROX
2,2,OFF,LARGE,2,YES,NONE,1,12,,,,,,WHEEL,WHEEL
3,0,ON,SMALL,3,NONE,NONE,1,1,,,,,,NONE,NONE
3,0,ON,LARGE,3,NONE,NONE,0.953125,2,,,,,,NONE,NONE
3,0,OFF,SMALL,3,NONE,NONE,1,3,,,,,,NONE,NONE
3,0,OFF,LARGE,3,NONE,NONE,0.921875,4,,,,,,NONE,NONE
3,1,ON,SMALL,3,NONE,YES,0.5,6,,,,,,PROX,NONE
3,1,ON,LARGE,3,YES,NONE,0.5,7,,,,,,WHEEL,NONE
3,1,OFF,SMALL,3,NONE,YES,0.476190476,8,,,,,,PROX,NONE
3,1,OFF,LARGE,3,NONE,YES,1,9,,,,,,PROX,PROX
3,2,ON,SMALL,3,YES,YES,0.75,10,,,,,,WHEEL,PROX
3,2,ON,LARGE,3,YES,YES,0.5,12,,,,,,WHEEL,PROX
3,2,OFF,LARGE,3,YES,NONE,0.5,12,,,,,,WHEEL,WHEEL
3,0,OFF,LARGE,3,NONE,NONE,1,4,,,,,,NONE,NONE
4,0,ON,SMALL,4,NONE,NONE,1,1,,,,,,NONE,NONE
4,0,ON,LARGE,4,NONE,NONE,1,2,,,,,,NONE,NONE
4,0,OFF,SMALL,4,NONE,NONE,1,3,,,,,,NONE,NONE
4,0,OFF,LARGE,4,NONE,NONE,1,4,,,,,,NONE,NONE
4,1,ON,SMALL,4,NONE,YES,1,6,,,,,,PROX,NONE
4,1,ON,LARGE,4,YES,NONE,1,7,,,,,,WHEEL,NONE
4,1,OFF,SMALL,4,NONE,YES,0.5,8,,,,,,PROX,NONE
4,1,OFF,LARGE,4,NONE,YES,1,9,,,,,,PROX,PROX
4,2,ON,SMALL,4,YES,YES,1,10,,,,,,WHEEL,PROX
4,2,ON,LARGE,4,YES,NONE,1,12,,,,,,WHEEL,WHEEL
4,2,OFF,LARGE,4,YES,YES,1,12,,,,,,WHEEL,PROX
