Individual,Num_Faults,LEDS,Swarm_Size,user_order,Fault_Type1,Fault_Type2,Bal_Avg,Video Type
1,0,ON,SMALL,15,NONE,NONE,1,1
1,0,ON,LARGE,15,NONE,NONE,1,2
1,0,OFF,SMALL,15,NONE,NONE,0.9375,3
1,0,OFF,LARGE,15,NONE,NONE,1,4
1,1,ON,SMALL,15,PROX,NONE,1,5
1,1,ON,LARGE,15,WHEEL,NONE,0.5,6
1,1,OFF,SMALL,15,PROX,NONE,1,7
1,1,OFF,LARGE,15,WHEEL,NONE,1,8
1,2,ON,SMALL,15,WHEEL,WHEEL,1,9
1,2,ON,LARGE,15,WHEEL,WHEEL,1,10
1,2,OFF,SMALL,15,PROX,PROX,1,11
1,2,OFF,LARGE,15,PROX,PROX,0.75,12
2,0,ON,SMALL,16,NONE,NONE,1,1
2,0,ON,LARGE,16,NONE,NONE,1,2
2,0,OFF,SMALL,16,NONE,NONE,1,3
2,0,OFF,LARGE,16,NONE,NONE,0.96875,4
2,1,ON,SMALL,16,PROX,NONE,1,5
2,1,ON,LARGE,16,WHEEL,NONE,0.5,6
2,1,OFF,SMALL,16,PROX,NONE,0.466666667,7
2,1,OFF,LARGE,16,WHEEL,NONE,1,8
2,2,ON,SMALL,16,WHEEL,WHEEL,0.5,9
2,2,ON,LARGE,16,PROX,PROX,0.75,10
2,2,OFF,SMALL,16,PROX,PROX,1,11
2,2,OFF,LARGE,16,PROX,PROX,0.5,12
3,0,ON,SMALL,17,NONE,NONE,1,1
3,0,ON,LARGE,17,NONE,NONE,1,2
3,0,OFF,SMALL,17,NONE,NONE,0.5625,3
3,0,OFF,LARGE,17,NONE,NONE,1,4
3,1,ON,SMALL,17,PROX,NONE,0.433333333,5
3,1,ON,LARGE,17,WHEEL,NONE,1,6
3,1,OFF,SMALL,17,PROX,NONE,1,7
3,1,OFF,LARGE,17,WHEEL,NONE,1,8
3,2,ON,SMALL,17,WHEEL,PROX,1,9
3,2,ON,LARGE,17,WHEEL,WHEEL,1,10
3,2,OFF,SMALL,17,WHEEL,WHEEL,1,11
3,2,OFF,LARGE,17,PROX,PROX,1,12
4,0,ON,SMALL,18,NONE,NONE,1,1
4,0,ON,LARGE,18,NONE,NONE,1,2
4,0,OFF,SMALL,18,NONE,NONE,1,3
