,,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,User 32,User 33,User 34,User 35,User 36,User 37,User 38,User 39,User 40,User 41,User 42,User 43,User 44,User 0,,,,,,,,,,,,,,,,,,,,,,
Pre-Questionnaire,Years w/ Robots in Simulation,6,2.25,0,2.167,2,1,0.5,0,1,nada,2,1,0.0006,4,0,6,3,2,0,4,4,4,3.5,8,2,4.5,3,0,10,0.58,0,0,1,3,2,0,3,0.08,0,3.5,4,10,1,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,
,"If any, types of simulation",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,Maybe 5 hours of viewing Presentations/ Videos of robots in simulation,nada,nada,"robotic arms in ROS Gazebo environment, primarily pick and place tasks",Gazebo 1/2/3 robots (guessing that means 1-3 robots in simulation),ROS1 + Gazebo,nada,"(mostly WPI courses)
- gazebo, rviz, some cad software simulations (e.g. solidworks)","Unity (two years), Unreal Engine (one year), Gazebo (three years)",Mainly Gazebo and PyTorch,"(Technically 3-4) Working with robots in simulation, including foraging tasks in ARGoS. Also make custom simulations in Python.","Argos3, Gazebo",Gazebo and Argos,"(technically 4-5) Matlab. Python and c++ ROS, Python Mujoco","ROS, RVIZ, MATLAB",nada,nada,Worked with 5-axis robots in proprietary simulation software. Worked with robots in simulation for RBE 3001 and 3002,nada,Little to no experience,Automation simulation to conduct fea,Maily ROS and Gazebo,"Some Gazebo simulations.
I've worked with robots in general since middle school (FIRST and such), but
if we're specifically talking about simulation, it would be more accurate to say 2
years.",nada,"I have worked on Gazebo, Blender too simulation",self made - Python Boid simulator,nada,Gazebo 11,"Gazebo, Unity, Pybullet","ROS/Gazebo, Argos","Pybullet, Airsim (Aerial Robot)","Less than a year, basic differential drive control/bipedal robot simulations in MATLAB",Gazebo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Years Playing Video Games,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,19,10,5,15,16,15,17,nada,35,25,14,10,1,0,1,15,18,10,0.25,12,14,10,7,1,17,7,15,29,3,3,nada,,,,,,,,,,,,,,,,,,,,,,
,"If any, types of video games",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,Action games; platforming games; first-person shooter games.,Primarily FPS and strategy games,FPS,Everything from Wii Sports to League of Legends,"Sandbox, FPS, Survival, Strategy","sports games (e.g. fifa, nhl), open-world third person (e.g. red dead redemption, grand theft auto), first person shooter (e.g. call of duty).","FPS, MOBA, RPG, Adventure, Fighting, Racing, Sports, Cards, etc.","FPS, strategy, RPG",Preference for turn-based strategy games like Pokemon and Civilization. Also enjoy story-based RPGs like Dragon Age and Balder's Gate.,"Strategy, first person, RTS","Strategy, FPS, KSP like","Chess. FPS. Multiplayer PVE or PVP, RTS, base building",mincraft,nada,nada,Mostly FPS and strategy games.,FPS and RPG games,"Some of the genres I've played include FPS, smups, and MMOs","[0.25 is a guess based on this answer] Not a lot. Mobile phone games - clash royale, mini militia",nada,"Usually some kind of first- or third-person shooter (over-the-shoulder view
kind of thing), but I've also played games like Rocket League, Starcraft, etc. I'm
not very good at RTS games like Starcraft","10+, First person shooter","I was playing strategic games like Clash of Clans, PubG, DoTA, etc. I used to watch gaming videos on YT.","PS4 - simulation baed, Adventure games","mostly strategy, MMORPGs, RTS",Lumosity and Deer hunter 2018,"FPS, RPG","FPS, platformers, strategy","Contra 4, Super Mario","Open world games (minecraft, legend of zelda)",nada,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Years of STEM Education/Learning,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,7,10,6,8,5,9,17,7,5,10,6,17,7,8,15,6,6,4,1,8,14,6,8,5.42,7,9.5,9,12,15,4,nada,,,,,,,,,,,,,,,,,,,,,,
,Which kinds of STEM Education,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,"If this question means ""years getting an education in STEM,"" then ~7 years (Aerospace engineering, and materials science). If it's referring more to ""years spent engaged with STEM learning in, for example, a teaching role,"" then ~2.5 years grading in aerospace engineering and teaching assistant in materials science. Let me know if I'm misunderstanding that one.",stem training (Undergraduate - PhD in robotics and mechanical engineering),as a student/mentor to junior students,Robotics in HS and college,Mechanical Engineer,"stem-focused elective courses and extracurriculars (e.g. FRC) in hs, RBE Bs/MS at WPI","Elementary - Math and Science, Middle - Math (e.g., Pre-Algebra, Algebra, etc.), Science (e.g., Chemistry, Geography, etc.), and Robotics, High - Math (e.g., Geometry, Algebra, Trigonometry, Pre-Calculus, Calculus), Science (e.g., Chemistry, Physics, etc.), Computer Science, and Robotics, College (WPI) - Math, Science, Computer Science, Robotics, etc.","Junior, Senior, undergrad (4 yrs) & masters (1 year)","Took several STEM AP classes in high school in 2005-2006. Outside of that, no formal STEM education until WPI in 2020. At WPI, lots: Engineering Mathematics, Swarm Intelligence, Artificial Intelligence, Reinforcement Learning, etc.","Robotics engineering, university","Robotics, electronics, mechanical, com sci","Maths, physics, chemistry, programming, using various softwares.","Mechanical, Robotics, Computer Science",nada,nada,3 years at WPI studying robotics engineering. 3 years on a FIRST robotics team while attending a STEM high school,"3 years at WPI studying computer science, mathematics, and data science, and 3 years in high school doing biology research","4 years of higher education, mainly in the computer science field",Programming and testing automation robotic systems,nada,"About as long as I can remember. I was the mascot for my brother's FIRST
robotics team in preschool, and I've participated in FIRST, VEX, or WPI robotics
programs almost continuously since. Computer science and robotics. I became a CS nerd in high school, then
realized that I didn't want to sit in front of a computer for the rest of my life,
so now I'm doing robotics. I get to sit in front of a different kind of computer
for the rest of my life!",Mathematics and Computer Science,nada,"Computer Engineering, Computer Science",(7 is an estimate based on this description) BSc in Environmental Engineering and in CS Master's in DS Current PhD in DS,"High school, undergrad, Grad - PhD in Robotics","Automotive, Robotics","BS in Engineering (Computer), MS in Computer Science (AI), and ALMOST PHD in Robotics (Swarm Intelligence)",nada,2 years of STEM high school classes. 2 years at a STEM college,nada,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Have Helpful Experience?,nada,nada,nada,nada,nada,nada,nada,TRUE,nada,nada,nada,nada,nada,nada,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,nada,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,
