,Video Type 1,,,Video Type 2,,,Video Type 3,,,Video Type 4,,,Video Type 5,,,Video Type 6,,,Video Type 7,,,Video Type 8,,,Video Type 9,,,Video Type 10,,,Video Type 11,,,Video Type 12,,,Video Type Duplicate 1,,,Video Type Duplicate 2,,
,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason
User 1,Seed 113,Exp 11,,Seed 125,Exp 9,,Seed 114,Exp 2,,Seed 124,Exp 7,,Seed 131,Exp 4,,Seed 161,Exp 6,,Seed 134,Exp 1,,Seed 166,Exp 10,,Seed 241,Exp 5,,Seed 235,Exp 8,,,,,Seed 214,Exp 3,,Seed 234,Exp 12,Type 12,,,
Guesses,10,101,nada,18,100,nada,12,50,nada,48,91,nada,4,63,nada,3,107,nada,4,138,nada,4,70,nada,7,85,nada,54,95,nada,,,,33,85,nada,61,63,nada,,,
User thought beacon was faulty,13,181,nada,100,136,nada,12-Revoke,188,nada,100,91,nada,0,81,nada,100,107,nada,,,,54,129,nada,,,,100,136,nada,,,,1,169,nada,36,63,nada,,,
Notate Beacon guesses,,,,47,146,nada,,,,48-Revoke,143,nada,,,,0,133,nada,,,,100,129,nada,,,,62,157,nada,,,,,,,15,108,nada,,,
100 = <unseen>,,,,,,,,,,45,170,nada,,,,40,198,nada,,,,,,,,,,,,,,,,,,,15-Revoke,115,nada,,,
,,,,,,,,,,100-Revoke,180,nada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,39,Left Wheel Zero,0,63.6,Prox Sensor Random,0,74.6,Left Wheel Zero,61,2.4,Prox Sensor Random,9,10.7,Prox Sensor Random,62,72.9,Left Wheel Zero,,,,3,44.7,Left Wheel Zero,15,77,Left Wheel Zero,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6,79.6,Prox Sensor Random,11,24.4,Prox Sensor Random,,,,41,21.1,Left Wheel Zero,4,70.3,Prox Sensor Random,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 2,Seed 115,Exp 10,,Seed 121,Exp 3,,Seed 116,Exp 7,,Seed 122,Exp 4,,Seed 135,Exp 8,,Seed 163,Exp 9,,Seed 136,Exp 12,,Seed 164,Exp 5,,Seed 243,Exp 2,,Seed 233,Exp 1,,,,,Seed 236,Exp 6,,Seed 216,Exp 11,Type 12,,,
Guesses,12,13,nada,46,45,nada,4,73,nada,17,40,nada,12,90,nada,31,100,nada,5,40,nada,27,67,nada,7,42,nada,42,49,nada,,,,39,59,nada,36,50,nada,,,
,6,143,nada,16,50,nada,6,143,nada,17-Revoke,50,nada,11,97,nada,33,150,nada,1,134,nada,9,163,They skip the food,7-Revoke,60,nada,47,60,nada,,,,51,109,nada,53,80,nada,,,
,0,150,nada,46-Revoke,60,nada,0,150,nada,9,80,nada,15,100,nada,21,186,nada,,,,16,170,They skip the food,0,92,nada,48,104,nada,,,,41,150,nada,,,,,,
,8,183,nada,39,96,nada,8,183,nada,31,102,nada,,,,37,190,nada,,,,,,,1,93,nada,39,116,nada,,,,,,,,,,,,
,,,,19,99,nada,,,,,,,,,,,,,,,,,,,8,112,nada,17,169,nada,,,,,,,,,,,,
,,,,50,132,nada,,,,,,,,,,,,,,,,,,,8-Revoke,150,nada,,,,,,,,,,,,,,,
,,,,16-Revoke,170,nada,,,,,,,,,,,,,,,,,,,3,165,nada,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,11,13.3,Left Wheel Zero,31,40.2,Prox Sensor Random,1,21.1,Left Wheel Zero,5,40.1,Prox Sensor Random,0,7.9,Prox Sensor Random,42,48.3,Left Wheel Zero,,,,39,35.4,Left Wheel Zero,36,5.4,Left Wheel Zero,,,
,,,,,,,,,,,,,,,,,,,,,,,,,11,79.9,Prox Sensor Random,13,31.1,Prox Sensor Random,,,,51,63.3,Prox Sensor Random,53,0.3,Left Wheel Zero,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 3,Seed 113,Exp 4,,Seed 121,Exp 6,,Seed 118,Exp 3,,Seed 126,Exp 1,,,,,Seed 165,Exp 7,,Seed 132,Exp 11,,Seed 162,Exp 2,,Seed 245,Exp 9,,Seed 237,Exp 8,,,,,Seed 234,Exp 5,,Seed 212,Exp 12,Type 12,Seed 126 (same other type 4),Exp 10,Type 4
Guesses,(beacon) 0,nada,first to food,(beacon) 39,nada,first to food,(beacon) 7,nada,first to food,(beacon) 57,nada,first to food,,,,(beacon) 56,nada,first to food,(beacon) 10,nada,first to food,(beacon) 24,nada,first to food,(beacon) 4,nada,first to food,(beacon) 19,nada,first to food,,,,(beacon) 61,nada,first to food,(beacon) 10,nada,first to food,(beacon) 57,nada,first to food
,5,89,Still Going Away from food after beacon set. Seemed in radius of beacon,45,200,Clumping for a long time,,,,5,129,Staying still for a long time,,,,nada,200,many bots on food end up stuck there,5,28,clumped on lower wall for awhile,29,59,Stuck nearly unmoving for long tim along with 29 even longer,5,123,Stuck on wall for a long time,26,182,going in small circles,,,,nada,nada,Lots of clumping in lower right but no fault seen,56,111,in radius of beacn bu walking along wall,nada,102,mans eps stuck on wall in lower left for long time
,,,,34,200,Clumping for a long time,,,,28,167,Stay bunched up against wall & then while moving up,,,,,,,3,28,clumped on lower wall for awhile,49,59,Stuck nearly unmoving for long tim along with 29 even longer,0,149,Stuck on wall for a long time,,,,,,,,,,14,163,still for a long time,nada,148,bots after getting food hug lower wall
,,,,47,200,Clumping for a long time,,,,49,167,Stay bunched up against wall & then while moving up,,,,,,,5-Revoke,32,nada,38,59,Stuck nearly unmoving for long tim along with 29 even longer,,,,,,,,,,,,,14-Revoke,186,moving,,,
,,,,,,,,,,23,167,Stay bunched up against wall & then while moving up,,,,,,,3-Revoke,32,nada,16,nada,nada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,41,167,Stay bunched up against wall & then while moving up,,,,,,,,,,16-Revoke,nada,nada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,1,14.4,Prox Sensor Random,2,60.6,Left Wheel Zero,61,40.4,Prox Sensor Random,0,52,Prox Sensor Random,26,0,Left Wheel Zero,,,,15,77,Left Wheel Zero,23,71.6,Left Wheel Zero,NONE,NONE,NONE
,,,,,,,,,,,,,,,,,,,,,,,,,5,74.8,Prox Sensor Random,56,37,Prox Sensor Random,,,,4,70.3,Prox Sensor Random,62,46.5,Left Wheel Zero,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 4,Seed 115,Exp 6,,Seed 125,Exp 1,,Seed 120,Exp 12,,Seed 128,Exp 9,,,,,Seed 161,Exp 3,,Seed 136,Exp 5,,Seed 168,Exp 4,,Seed 247,Exp 8,,Seed 239,Exp 10,,,,,Seed 214,Exp 2,,Seed 232,Exp 7,Type 12,Seed 128 (same other type 4),Exp 11,Type 4
Guesses,NONE,NONE,What is robot 0 on? Not broken but cookin',NONE,NONE,NONE (Question mark added after None),14,158,Is doing weird stuff,NONE,NONE,Robot clumping makes this impossible,,,,5,70,nada,1,25,nada,NONE,NONE,NONE (Question mark added after None),9,90,(? added after number),11,130,nada,,,,41,45,nada,23,135,nada,NONE,NONE,They added ? after NONE
,,,,,,,14-Revoke,195,It's just the food delivery behavior,,,,,,,5-Revoke,95,nada,0,60,(? added after number),,,,9,120,Official,20,178,nada,,,,3,92,nada,45,165,nada,,,
,,,,,,,,,,,,,,,,0,150,nada,0-Revoke,65,nada,,,,0,148,nada,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7,125,(? added after number),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7-Revoke,165,nada,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4,nada,Leaves beacon... I think it should stay on beacon?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,0,63.6,Prox Sensor Random,1,21.1,Left Wheel Zero,44,26.3,Prox Sensor Random,9,65.7,Prox Sensor Random,20,50.7,Left Wheel Zero,,,,3,44.7,Left Wheel Zero,23,16,Left Wheel Zero,NONE,NONE,NONE
,,,,,,,,,,,,,,,,,,,,,,,,,0,62.4,Prox Sensor Random,11,55.9,Prox Sensor Random,,,,41,21.1,Left Wheel Zero,45,75.1,Prox Sensor Random,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 5,Seed 113,Exp 2,,Seed 125,Exp 5,,Seed 114,Exp 11,,Seed 124,Exp 8,,Seed 131,Exp 7,,Seed 161,Exp 1,,Seed 134,Exp 3,,Seed 166,Exp 9,,Seed 241,Exp 10,,Seed 235,Exp 4,,,,,Seed 214,Exp 6,,,Moved it down one to have script ignore it,,,,
Guesses,11,59,nada,30,12,nada,6,71,nada,35,14,nada,5,69,nada,21,116,nada,11,68,nada,62,32,nada,4,28,nada,5,13,nada,,,,48,46,nada,Seed 234,Exp 12,Type 12,,,
,5,78,nada,8,12,nada,,,,31,14,nada,0,92,nada,24,116,nada,7,94,nada,63,32,nada,5,28,nada,52,35,nada,,,,24,46,nada,DIDN'T COMPLETE,,,,,
,,,,19,44,nada,,,,54,35,nada,14,100,nada,54,137,nada,1,131,nada,51,44,nada,8,51,nada,4,35,nada,,,,,,,,,,,,
,,,,62,44,nada,,,,39,83,nada,10,108,nada,,,,14,135,nada,22,81,nada,11,51,nada,55,65,nada,,,,,,,,,,,,
,,,,30,46,nada,,,,5,85,nada,13,114,nada,,,,12,140,nada,41,81,nada,9,83,nada,44,167,nada,,,,,,,,,,,,
,,,,49,46,nada,,,,2,127,nada,15,198,nada,,,,2,153,nada,59,100,nada,,,,22,175,nada,,,,,,,,,,,,
